date,rental
2021-01-01,25536.02
2021-01-02,25391.426
2021-01-03,17052.457
2021-01-04,31743.102
2021-01-05,24743.852
2021-01-06,21772.496
2021-01-07,14960.071
2021-01-08,23599.857
2021-01-09,20174.229
2021-01-10,17453.08
2021-01-11,20449.695
2021-01-12,21944.066
2021-01-13,35649.62
2021-01-14,37305.11
2021-01-15,28682.377
2021-01-16,23118.574
2021-01-17,18927.303
2021-01-18,22584.227
2021-01-19,30044.668
2021-01-20,37551.8
2021-01-21,19497.994
2021-01-22,7245.577
2021-01-23,44508.168
2021-01-24,49814.246
2021-01-25,57962.93
2021-01-26,25963.57
2021-01-27,38675.273
2021-01-28,24537.8
2021-01-29,22551.275
2021-01-30,26390.297
2021-01-31,32910.75
2021-02-01,30655.041
2021-02-02,24505.082
2021-02-03,20782.059
2021-02-04,29413.238
2021-02-05,35967.805
2021-02-06,35165.926
2021-02-07,27576.576
2021-02-08,34150.09
2021-02-09,34344.035
2021-02-10,35241.97
2021-02-11,47451.996
2021-02-12,54606.07
2021-02-13,55947.99
2021-02-14,47154.293
2021-02-15,29389.545
2021-02-16,20342.824
2021-02-17,16960.053
2021-02-18,26282.418
2021-02-19,37659.47
2021-02-20,52651.703
2021-02-21,57182.875
2021-02-22,54361.027
2021-02-23,34860.05
2021-02-24,45786.316
2021-02-25,36869.562
2021-02-26,61089.203
2021-02-27,63229.15
2021-02-28,39453.074
2021-03-01,9693.882
2021-03-02,37012.28
2021-03-03,48040.215
2021-03-04,66300.5
2021-03-05,73747.12
2021-03-06,56821.742
2021-03-07,58415.82
2021-03-08,71265.2
2021-03-09,61963.656
2021-03-10,74610.96
2021-03-11,67272.96
2021-03-12,66089.45
2021-03-13,61146.848
2021-03-14,53005.895
2021-03-15,65152.863
2021-03-16,56013.496
2021-03-17,72044.51
2021-03-18,79735.8
2021-03-19,85107.96
2021-03-20,32590.377
2021-03-21,36243.277
2021-03-22,64383.844
2021-03-23,77650.32
2021-03-24,81598.07
2021-03-25,79080.2
2021-03-26,75708.64
2021-03-27,16144.776
2021-03-28,10315.432
2021-03-29,61112.688
2021-03-30,75805.89
2021-03-31,92976.125
2021-04-01,114028.125
2021-04-02,110931.0
2021-04-03,19152.803
2021-04-04,81380.31
2021-04-05,100369.57
2021-04-06,112535.42
2021-04-07,111840.41
2021-04-08,115191.85
2021-04-09,109422.055
2021-04-10,110626.945
2021-04-11,113156.06
2021-04-12,25436.727
2021-04-13,54319.777
2021-04-14,95097.01
2021-04-15,110917.46
2021-04-16,74013.59
2021-04-17,79247.28
2021-04-18,91885.46
2021-04-19,107582.695
