date,rental
2021-01-01,22324.568
2021-01-02,29348.344
2021-01-03,16703.844
2021-01-04,33934.188
2021-01-05,25216.824
2021-01-06,20786.795
2021-01-07,12552.465
2021-01-08,23437.46
2021-01-09,18741.885
2021-01-10,16945.338
2021-01-11,19513.734
2021-01-12,20318.723
2021-01-13,33971.848
2021-01-14,37623.96
2021-01-15,23577.201
2021-01-16,21529.457
2021-01-17,18041.008
2021-01-18,20145.406
2021-01-19,27785.084
2021-01-20,40279.156
2021-01-21,19527.416
2021-01-22,7052.7944
2021-01-23,42475.312
2021-01-24,45166.12
2021-01-25,52864.082
2021-01-26,24291.146
2021-01-27,39563.06
2021-01-28,21784.709
2021-01-29,21593.225
2021-01-30,27836.803
2021-01-31,32641.234
2021-02-01,27690.006
2021-02-02,25048.104
2021-02-03,22071.79
2021-02-04,29333.877
2021-02-05,38106.164
2021-02-06,31219.164
2021-02-07,26885.273
2021-02-08,29369.457
2021-02-09,33150.887
2021-02-10,37069.297
2021-02-11,48157.832
2021-02-12,53634.203
2021-02-13,47577.61
2021-02-14,46873.08
2021-02-15,28884.64
2021-02-16,18691.922
2021-02-17,15943.951
2021-02-18,25356.504
2021-02-19,41208.867
2021-02-20,49053.344
2021-02-21,52718.027
2021-02-22,50891.035
2021-02-23,37265.457
2021-02-24,49382.242
2021-02-25,39100.89
2021-02-26,64028.082
2021-02-27,61033.004
2021-02-28,37964.004
2021-03-01,8059.0464
2021-03-02,35796.285
2021-03-03,54194.395
2021-03-04,64415.906
2021-03-05,75357.61
2021-03-06,50910.99
2021-03-07,56974.77
2021-03-08,69851.14
2021-03-09,64176.824
2021-03-10,80634.1
2021-03-11,72829.28
2021-03-12,67043.734
2021-03-13,61695.3
2021-03-14,48148.74
2021-03-15,63183.64
2021-03-16,57052.58
2021-03-17,74164.09
2021-03-18,82262.15
2021-03-19,88169.195
2021-03-20,28032.06
2021-03-21,34982.414
2021-03-22,65261.508
2021-03-23,79467.82
2021-03-24,80284.66
2021-03-25,79179.29
2021-03-26,83383.04
2021-03-27,18066.906
2021-03-28,11722.959
2021-03-29,56578.35
2021-03-30,77827.06
2021-03-31,97736.77
2021-04-01,106131.24
2021-04-02,102320.62
2021-04-03,17163.719
2021-04-04,70544.164
2021-04-05,106938.66
2021-04-06,107820.164
2021-04-07,106391.17
2021-04-08,114475.52
2021-04-09,105136.125
2021-04-10,107543.914
2021-04-11,113911.61
2021-04-12,23463.652
2021-04-13,60924.49
2021-04-14,91374.95
2021-04-15,104551.89
2021-04-16,70442.11
2021-04-17,74876.2
2021-04-18,88111.87
2021-04-19,104855.85
2021-04-20,113891.3
2021-04-21,120717.78
2021-04-22,104741.11
2021-04-23,93292.25
2021-04-24,118521.13
2021-04-25,120318.95
2021-04-26,116951.664
2021-04-27,73673.164
2021-04-28,70662.2
2021-04-29,84295.57
2021-04-30,42847.266
2021-05-01,55806.66
2021-05-02,104017.02
2021-05-03,128591.89
2021-05-04,21130.36
2021-05-05,110751.41
2021-05-06,117886.25
2021-05-07,70904.75
2021-05-08,124967.2
2021-05-09,119601.64
2021-05-10,81184.89
2021-05-11,135222.03
2021-05-12,134793.03
2021-05-13,131609.89
2021-05-14,130724.11
2021-05-15,53936.176
2021-05-16,9590.557
2021-05-17,25376.562
2021-05-18,130678.734
2021-05-19,136931.8
2021-05-20,65945.91
2021-05-21,86859.45
2021-05-22,126647.87
2021-05-23,127742.51
2021-05-24,130951.08
2021-05-25,78419.305
2021-05-26,127414.62
2021-05-27,61527.312
2021-05-28,62085.867
2021-05-29,103623.26
2021-05-30,98224.64
2021-05-31,84129.64
2021-06-01,103584.43
2021-06-02,131595.33
2021-06-03,57438.562
2021-06-04,142579.55
2021-06-05,142686.06
2021-06-06,130692.945
2021-06-07,119817.305
2021-06-08,143010.69
2021-06-09,137733.88
2021-06-10,104201.7
2021-06-11,105385.086
2021-06-12,138925.78
2021-06-13,123774.11
2021-06-14,135813.06
2021-06-15,123744.484
2021-06-16,140120.39
2021-06-17,137110.03
2021-06-18,52504.883
2021-06-19,138556.23
2021-06-20,121776.84
2021-06-21,145323.92
2021-06-22,142252.62
2021-06-23,118883.85
2021-06-24,134753.58
2021-06-25,141994.97
2021-06-26,106064.97
2021-06-27,75970.1
2021-06-28,144103.08
2021-06-29,119737.45
2021-06-30,126074.98
2021-07-01,150893.4
2021-07-02,126187.805
2021-07-03,58814.168
2021-07-04,16979.879
2021-07-05,137770.9
2021-07-06,134353.97
2021-07-07,82429.97
2021-07-08,114687.516
2021-07-09,113469.336
2021-07-10,124164.62
2021-07-11,108104.445
2021-07-12,109189.914
2021-07-13,110915.56
2021-07-14,105311.74
2021-07-15,107576.84
2021-07-16,77002.984
2021-07-17,99817.54
2021-07-18,92625.22
2021-07-19,83953.4
2021-07-20,118162.125
2021-07-21,100888.086
2021-07-22,99133.35
2021-07-23,103180.29
2021-07-24,90400.34
2021-07-25,96610.06
2021-07-26,102845.77
2021-07-27,104341.32
2021-07-28,106100.68
2021-07-29,111417.76
2021-07-30,109779.64
2021-07-31,88800.32
2021-08-01,45514.387
2021-08-02,100520.35
2021-08-03,106936.21
2021-08-04,108650.17
2021-08-05,108845.67
2021-08-06,102214.695
2021-08-07,115553.516
2021-08-08,66491.54
2021-08-09,116469.94
2021-08-10,121507.016
2021-08-11,125832.445
2021-08-12,130483.1
2021-08-13,128658.25
2021-08-14,127927.22
2021-08-15,111284.07
2021-08-16,121906.3
2021-08-17,85750.05
2021-08-18,112053.92
2021-08-19,143493.5
2021-08-20,133095.77
2021-08-21,52232.19
2021-08-22,125910.36
2021-08-23,66298.73
2021-08-24,27099.275
2021-08-25,123141.38
2021-08-26,108117.54
2021-08-27,102981.81
2021-08-28,131039.91
2021-08-29,120500.74
2021-08-30,140569.72
2021-08-31,22882.912
2021-09-01,91524.61
2021-09-02,141793.33
2021-09-03,130263.52
2021-09-04,150886.34
2021-09-05,143069.77
2021-09-06,91660.086
2021-09-07,12468.748
2021-09-08,116192.35
2021-09-09,147759.22
2021-09-10,144089.47
2021-09-11,143527.86
2021-09-12,140819.95
2021-09-13,134198.52
2021-09-14,138364.36
2021-09-15,150466.47
