date,rental
2021-01-01,32373.96
2021-01-02,23638.346
2021-01-03,18465.758
2021-01-04,29978.592
2021-01-05,24989.043
2021-01-06,18108.379
2021-01-07,18556.78
2021-01-08,22910.465
2021-01-09,18871.445
2021-01-10,16252.268
2021-01-11,27276.367
2021-01-12,18546.867
2021-01-13,26029.303
2021-01-14,37979.355
2021-01-15,37014.86
2021-01-16,24762.04
2021-01-17,18825.154
2021-01-18,22911.367
2021-01-19,26010.533
2021-01-20,35598.27
2021-01-21,24423.38
2021-01-22,12999.718
2021-01-23,35419.297
2021-01-24,41177.863
2021-01-25,59119.9
2021-01-26,31726.334
2021-01-27,39932.715
2021-01-28,24444.52
2021-01-29,23831.826
2021-01-30,27346.08
2021-01-31,24184.832
2021-02-01,24379.875
2021-02-02,24965.273
2021-02-03,19722.22
2021-02-04,30460.252
2021-02-05,39786.766
2021-02-06,29754.123
2021-02-07,27542.328
2021-02-08,29181.705
2021-02-09,38547.055
2021-02-10,38932.72
2021-02-11,50029.383
2021-02-12,46077.406
2021-02-13,39241.75
2021-02-14,55376.777
2021-02-15,27734.057
2021-02-16,20257.418
2021-02-17,19326.941
2021-02-18,29296.863
2021-02-19,26391.451
2021-02-20,52132.168
2021-02-21,60719.344
2021-02-22,42465.15
2021-02-23,36801.23
2021-02-24,40705.316
2021-02-25,38518.496
2021-02-26,49854.414
2021-02-27,57370.24
2021-02-28,40368.332
2021-03-01,6324.2974
2021-03-02,41818.895
2021-03-03,49954.13
2021-03-04,55027.58
2021-03-05,81690.74
2021-03-06,53636.457
2021-03-07,57689.53
2021-03-08,73938.34
2021-03-09,76635.59
2021-03-10,75023.445
2021-03-11,71713.71
2021-03-12,60772.695
2021-03-13,71483.484
2021-03-14,57534.094
2021-03-15,62281.715
2021-03-16,70071.67
2021-03-17,81570.74
2021-03-18,81097.24
2021-03-19,96490.21
2021-03-20,36836.86
2021-03-21,30761.479
2021-03-22,60827.215
2021-03-23,79008.836
2021-03-24,75017.14
2021-03-25,77023.21
2021-03-26,78700.055
2021-03-27,22510.482
2021-03-28,7503.5156
2021-03-29,69499.18
2021-03-30,86767.414
2021-03-31,96209.89
2021-04-01,110231.2
2021-04-02,107477.09
2021-04-03,26757.916
2021-04-04,72894.79
2021-04-05,101771.734
2021-04-06,115897.12
2021-04-07,111960.1
2021-04-08,110354.695
2021-04-09,115950.19
2021-04-10,107157.39
2021-04-11,95344.85
2021-04-12,32345.3
2021-04-13,68087.8
2021-04-14,91637.6
2021-04-15,103335.62
2021-04-16,89416.195
2021-04-17,86187.17
2021-04-18,85789.83
2021-04-19,100141.54
2021-04-20,115709.59
2021-04-21,106578.7
2021-04-22,102999.02
2021-04-23,97368.945
2021-04-24,97896.914
2021-04-25,98033.93
2021-04-26,106894.93
2021-04-27,98233.47
2021-04-28,79419.39
2021-04-29,84194.53
2021-04-30,54041.79
2021-05-01,52857.332
2021-05-02,84154.555
2021-05-03,123215.266
2021-05-04,35339.07
2021-05-05,119734.79
2021-05-06,120954.29
2021-05-07,76030.78
2021-05-08,111832.664
2021-05-09,106248.72
2021-05-10,84686.555
2021-05-11,128509.54
2021-05-12,121981.836
2021-05-13,127293.555
2021-05-14,133125.64
2021-05-15,73075.41
2021-05-16,11311.435
2021-05-17,30918.871
2021-05-18,122576.195
2021-05-19,128219.805
2021-05-20,60619.55
2021-05-21,75381.49
2021-05-22,127604.84
2021-05-23,110434.875
2021-05-24,125677.375
2021-05-25,88898.98
2021-05-26,123761.91
2021-05-27,66019.94
2021-05-28,52607.594
2021-05-29,112157.36
2021-05-30,74859.836
2021-05-31,99954.91
2021-06-01,115214.63
2021-06-02,129502.67
2021-06-03,71764.76
2021-06-04,138328.9
2021-06-05,130743.99
2021-06-06,117396.51
2021-06-07,119432.945
2021-06-08,140837.98
2021-06-09,125373.15
2021-06-10,109606.54
2021-06-11,112564.55
2021-06-12,127407.01
2021-06-13,112315.08
2021-06-14,126361.695
2021-06-15,111550.81
2021-06-16,128714.41
2021-06-17,127958.6
2021-06-18,55881.184
2021-06-19,125958.33
2021-06-20,110250.72
2021-06-21,131728.05
2021-06-22,139702.66
2021-06-23,107245.125
2021-06-24,133577.6
2021-06-25,137708.95
2021-06-26,104597.42
2021-06-27,70627.23
2021-06-28,126325.19
2021-06-29,112243.6
2021-06-30,108076.164
2021-07-01,130198.73
2021-07-02,129753.36
2021-07-03,65575.94
2021-07-04,21271.127
2021-07-05,134831.45
2021-07-06,138154.36
2021-07-07,88319.734
2021-07-08,113824.11
2021-07-09,128023.19
2021-07-10,119135.06
2021-07-11,89242.414
2021-07-12,119350.63
2021-07-13,113024.41
2021-07-14,105094.78
2021-07-15,108519.625
2021-07-16,110248.02
2021-07-17,104414.24
2021-07-18,88092.23
2021-07-19,65780.04
2021-07-20,126549.75
2021-07-21,100150.1
2021-07-22,105697.64
2021-07-23,110859.44
2021-07-24,90048.39
2021-07-25,83320.984
2021-07-26,100983.195
2021-07-27,117099.91
2021-07-28,107484.1
2021-07-29,114540.09
2021-07-30,112881.35
2021-07-31,80882.39
2021-08-01,38035.293
2021-08-02,91243.734
2021-08-03,111464.984
2021-08-04,96454.18
2021-08-05,101341.16
2021-08-06,94508.805
2021-08-07,104506.19
2021-08-08,67526.16
2021-08-09,110850.1
2021-08-10,118163.516
2021-08-11,111735.78
2021-08-12,119985.08
2021-08-13,120206.59
2021-08-14,118778.62
2021-08-15,99240.63
2021-08-16,114892.99
2021-08-17,104341.84
2021-08-18,107883.38
2021-08-19,126898.414
2021-08-20,131737.88
2021-08-21,75426.12
2021-08-22,93866.47
2021-08-23,65612.88
2021-08-24,47250.14
2021-08-25,108936.71
2021-08-26,89133.04
2021-08-27,83439.22
2021-08-28,121327.58
2021-08-29,92928.555
2021-08-30,116912.3
2021-08-31,23072.6
2021-09-01,70498.96
2021-09-02,141396.75
2021-09-03,121224.4
2021-09-04,139498.58
2021-09-05,123513.96
2021-09-06,96850.195
2021-09-07,10780.839
2021-09-08,112381.8
2021-09-09,134846.81
2021-09-10,115797.14
2021-09-11,128784.75
2021-09-12,121445.13
2021-09-13,129267.78
2021-09-14,146741.98
2021-09-15,139651.02
2021-09-16,143074.58
2021-09-17,148594.42
2021-09-18,135774.78
2021-09-19,122081.72
2021-09-20,138645.31
2021-09-21,84309.586
2021-09-22,117599.53
2021-09-23,144322.2
2021-09-24,147514.42
2021-09-25,99049.766
2021-09-26,128823.234
2021-09-27,136405.34
2021-09-28,102817.95
2021-09-29,31720.008
2021-09-30,137537.4
2021-10-01,109587.305
2021-10-02,113759.56
2021-10-03,113589.3
2021-10-04,77513.76
2021-10-05,123206.734
2021-10-06,72068.555
2021-10-07,79797.836
2021-10-08,64203.953
2021-10-09,120178.65
2021-10-10,62396.805
2021-10-11,116299.664
2021-10-12,134926.7
2021-10-13,131957.08
2021-10-14,126492.07
2021-10-15,126019.11
2021-10-16,90977.72
2021-10-17,72115.09
2021-10-18,64892.066
2021-10-19,93239.34
2021-10-20,115165.22
2021-10-21,115591.805
2021-10-22,123783.82
2021-10-23,120939.43
2021-10-24,107539.61
2021-10-25,126810.91
2021-10-26,129151.75
2021-10-27,123296.33
2021-10-28,130724.39
2021-10-29,136543.62
2021-10-30,126012.516
2021-10-31,92195.34
2021-11-01,121452.56
2021-11-02,123431.125
2021-11-03,123854.35
2021-11-04,115982.7
2021-11-05,127195.75
2021-11-06,114369.18
2021-11-07,100641.12
2021-11-08,38622.64
2021-11-09,31234.086
2021-11-10,67890.336
2021-11-11,79431.78
2021-11-12,80232.63
2021-11-13,87593.55
2021-11-14,89338.73
2021-11-15,111414.69
2021-11-16,109093.25
2021-11-17,102818.18
2021-11-18,110778.16
2021-11-19,133184.81
2021-11-20,94738.87
2021-11-21,29956.238
2021-11-22,50701.46
2021-11-23,63754.207
2021-11-24,74168.54
2021-11-25,97684.35
2021-11-26,77120.22
2021-11-27,64169.656
2021-11-28,58972.47
2021-11-29,80301.23
2021-11-30,37955.934
2021-12-01,50619.977
2021-12-02,64077.844
2021-12-03,67680.97
2021-12-04,57273.582
2021-12-05,43081.71
2021-12-06,72322.79
2021-12-07,76195.195
2021-12-08,84335.43
2021-12-09,70426.83
2021-12-10,36763.242
2021-12-11,52915.793
2021-12-12,36895.04
2021-12-13,55784.77
2021-12-14,58641.06
2021-12-15,39457.797
2021-12-16,80603.92
2021-12-17,38052.96
2021-12-18,30899.223
2021-12-19,35981.37
2021-12-20,72011.01
2021-12-21,73860.17
2021-12-22,67391.37
2021-12-23,61625.71
2021-12-24,48044.023
2021-12-25,25897.102
2021-12-26,24703.217
2021-12-27,32906.367
2021-12-28,29694.28
2021-12-29,46188.46
2021-12-30,42643.875
2021-12-31,40100.66
