date,rental
2021-01-01,23314.62
2021-01-02,28684.676
2021-01-03,18255.096
2021-01-04,33354.645
2021-01-05,25978.902
2021-01-06,19787.752
2021-01-07,12282.28
2021-01-08,21870.395
2021-01-09,19365.984
2021-01-10,18834.24
2021-01-11,20456.758
2021-01-12,20724.479
2021-01-13,33831.137
2021-01-14,37623.89
2021-01-15,24840.559
2021-01-16,22564.637
2021-01-17,18207.191
2021-01-18,19789.904
2021-01-19,28586.986
2021-01-20,38714.098
2021-01-21,19903.322
2021-01-22,6942.6685
2021-01-23,40433.918
2021-01-24,46151.113
2021-01-25,53617.48
2021-01-26,24197.432
2021-01-27,39493.81
2021-01-28,21343.637
2021-01-29,22955.086
2021-01-30,27845.008
2021-01-31,34285.355
2021-02-01,31258.045
2021-02-02,25460.465
2021-02-03,21285.578
2021-02-04,30319.793
2021-02-05,37824.465
2021-02-06,31810.654
2021-02-07,28127.586
2021-02-08,32450.252
2021-02-09,34533.184
2021-02-10,37898.598
2021-02-11,43921.58
2021-02-12,53606.49
2021-02-13,47067.223
2021-02-14,46961.09
2021-02-15,29302.027
2021-02-16,18424.307
2021-02-17,15505.614
2021-02-18,25474.82
2021-02-19,41062.18
2021-02-20,45444.293
2021-02-21,53852.96
2021-02-22,54734.02
2021-02-23,36499.83
2021-02-24,46832.28
2021-02-25,37627.945
2021-02-26,64117.723
2021-02-27,58204.945
2021-02-28,38120.74
2021-03-01,8209.265
2021-03-02,38587.81
2021-03-03,55130.656
2021-03-04,63929.234
2021-03-05,77171.04
2021-03-06,51719.746
2021-03-07,55217.48
2021-03-08,68513.13
2021-03-09,62318.41
2021-03-10,76664.89
2021-03-11,75528.2
2021-03-12,66744.59
2021-03-13,61567.168
2021-03-14,48571.344
2021-03-15,62473.6
2021-03-16,51863.035
2021-03-17,71732.15
2021-03-18,83525.42
2021-03-19,86537.984
2021-03-20,28788.988
2021-03-21,37448.48
2021-03-22,65716.18
2021-03-23,82389.02
2021-03-24,80782.195
2021-03-25,82249.59
2021-03-26,85826.625
2021-03-27,19442.064
2021-03-28,10382.572
2021-03-29,58314.348
2021-03-30,76453.586
2021-03-31,103948.7
2021-04-01,115465.164
2021-04-02,110072.97
2021-04-03,17299.684
2021-04-04,76304.625
2021-04-05,106614.836
2021-04-06,109232.72
2021-04-07,111073.27
2021-04-08,114358.22
2021-04-09,104887.85
2021-04-10,111233.24
2021-04-11,110497.04
2021-04-12,24501.412
2021-04-13,60604.72
2021-04-14,91392.29
2021-04-15,107621.27
2021-04-16,69553.8
2021-04-17,78205.77
2021-04-18,85543.88
2021-04-19,104138.22
2021-04-20,112390.2
2021-04-21,120070.555
2021-04-22,105777.88
2021-04-23,93992.125
2021-04-24,118617.71
2021-04-25,117541.72
2021-04-26,116403.414
2021-04-27,70987.43
2021-04-28,71888.84
2021-04-29,90581.836
2021-04-30,39317.29
2021-05-01,61393.844
2021-05-02,103072.195
2021-05-03,129436.18
2021-05-04,22909.486
2021-05-05,112720.06
2021-05-06,123934.16
2021-05-07,76829.72
2021-05-08,123860.305
2021-05-09,120201.164
2021-05-10,81001.52
2021-05-11,133379.89
2021-05-12,137360.8
2021-05-13,135375.6
2021-05-14,130479.37
2021-05-15,49625.812
2021-05-16,9977.222
2021-05-17,25413.207
2021-05-18,134034.8
2021-05-19,136010.98
2021-05-20,70283.48
2021-05-21,84670.625
2021-05-22,130345.17
2021-05-23,132287.64
2021-05-24,126551.164
2021-05-25,82709.2
2021-05-26,129677.49
2021-05-27,62397.33
2021-05-28,62729.31
2021-05-29,101926.266
2021-05-30,96568.06
2021-05-31,88319.586
2021-06-01,103466.14
2021-06-02,134434.22
2021-06-03,59056.473
2021-06-04,140108.23
2021-06-05,142587.58
2021-06-06,131754.56
2021-06-07,122729.27
2021-06-08,144871.7
2021-06-09,138394.05
2021-06-10,107902.664
2021-06-11,103485.59
2021-06-12,139021.88
2021-06-13,124911.69
2021-06-14,137222.92
2021-06-15,120553.61
2021-06-16,138304.34
2021-06-17,136663.83
2021-06-18,58011.652
2021-06-19,136688.33
2021-06-20,124826.3
2021-06-21,144749.62
2021-06-22,146468.33
2021-06-23,118712.086
2021-06-24,141587.4
2021-06-25,140927.7
2021-06-26,106158.67
2021-06-27,73857.98
2021-06-28,138303.94
2021-06-29,123730.56
2021-06-30,122440.164
2021-07-01,148023.39
2021-07-02,127362.61
2021-07-03,57620.332
2021-07-04,18672.748
2021-07-05,138622.31
2021-07-06,136625.9
2021-07-07,79506.86
2021-07-08,113777.086
2021-07-09,118401.72
2021-07-10,118281.87
2021-07-11,107455.34
2021-07-12,110890.07
2021-07-13,112200.33
2021-07-14,106925.09
2021-07-15,109947.28
2021-07-16,80190.08
2021-07-17,99159.445
2021-07-18,93636.305
2021-07-19,88948.055
2021-07-20,119034.5
2021-07-21,100263.945
2021-07-22,94263.41
2021-07-23,100854.9
2021-07-24,86176.84
2021-07-25,88661.62
2021-07-26,100231.44
2021-07-27,102459.27
2021-07-28,107001.41
2021-07-29,108173.02
2021-07-30,113054.02
2021-07-31,84673.695
2021-08-01,48020.383
2021-08-02,101092.266
2021-08-03,115507.13
2021-08-04,110944.75
2021-08-05,111453.47
2021-08-06,110928.04
2021-08-07,114987.05
2021-08-08,66255.305
2021-08-09,121302.66
2021-08-10,122099.21
2021-08-11,130249.36
2021-08-12,138053.81
2021-08-13,138583.31
2021-08-14,128379.54
2021-08-15,114977.83
2021-08-16,122377.83
2021-08-17,85147.26
2021-08-18,110827.06
2021-08-19,145808.27
2021-08-20,138553.19
2021-08-21,51636.203
2021-08-22,126759.4
2021-08-23,71524.01
2021-08-24,32859.03
2021-08-25,121776.5
2021-08-26,106931.93
2021-08-27,96980.61
2021-08-28,134683.42
2021-08-29,124528.914
2021-08-30,157554.23
2021-08-31,25216.15
2021-09-01,98613.6
2021-09-02,155556.42
2021-09-03,130858.95
2021-09-04,156271.19
2021-09-05,145946.28
2021-09-06,93683.375
2021-09-07,14095.258
2021-09-08,117901.43
2021-09-09,147564.31
2021-09-10,145494.48
2021-09-11,140730.55
2021-09-12,141891.55
2021-09-13,132497.23
2021-09-14,147811.64
2021-09-15,153543.97
2021-09-16,149593.53
2021-09-17,148862.17
2021-09-18,152377.69
2021-09-19,143556.73
2021-09-20,141908.73
2021-09-21,81730.555
2021-09-22,112119.99
2021-09-23,144327.67
2021-09-24,149715.4
2021-09-25,135165.95
2021-09-26,148604.3
2021-09-27,141954.08
2021-09-28,123827.59
2021-09-29,25578.58
2021-09-30,140541.83
2021-10-01,106455.93
2021-10-02,147283.69
2021-10-03,137866.2
2021-10-04,67722.47
2021-10-05,125797.055
2021-10-06,75281.47
2021-10-07,74294.42
2021-10-08,66646.766
2021-10-09,115262.4
2021-10-10,60402.414
2021-10-11,112540.9
2021-10-12,109471.53
2021-10-13,142377.48
2021-10-14,135209.92
2021-10-15,131044.77
2021-10-16,117487.92
2021-10-17,80013.62
2021-10-18,82930.125
2021-10-19,86555.56
2021-10-20,118226.94
2021-10-21,116003.24
2021-10-22,125832.2
2021-10-23,131913.23
2021-10-24,119522.164
2021-10-25,123465.47
2021-10-26,128686.84
2021-10-27,128044.75
2021-10-28,143455.33
2021-10-29,149913.16
2021-10-30,108412.836
2021-10-31,112598.766
2021-11-01,125394.59
2021-11-02,124898.34
2021-11-03,127623.42
2021-11-04,106453.91
2021-11-05,127989.195
2021-11-06,115739.914
2021-11-07,129203.45
2021-11-08,32385.85
2021-11-09,49510.273
2021-11-10,66980.4
2021-11-11,92058.25
2021-11-12,84870.63
2021-11-13,94169.15
2021-11-14,103440.1
2021-11-15,109049.22
2021-11-16,105811.47
2021-11-17,98098.35
2021-11-18,112403.38
2021-11-19,115632.23
2021-11-20,85827.94
2021-11-21,47471.184
2021-11-22,60876.75
2021-11-23,47957.406
2021-11-24,71003.34
2021-11-25,88903.79
2021-11-26,73044.36
2021-11-27,62326.97
2021-11-28,82772.65
2021-11-29,111105.27
2021-11-30,28924.998
2021-12-01,42415.04
2021-12-02,64843.043
2021-12-03,59274.445
2021-12-04,56531.266
2021-12-05,52762.793
2021-12-06,74803.4
2021-12-07,84736.22
2021-12-08,89951.164
2021-12-09,73472.63
2021-12-10,60015.914
2021-12-11,54260.902
2021-12-12,45817.066
2021-12-13,47142.203
2021-12-14,56031.285
2021-12-15,58644.01
2021-12-16,75955.62
2021-12-17,38688.812
2021-12-18,29512.57
2021-12-19,34466.85
2021-12-20,67518.04
2021-12-21,70575.79
2021-12-22,69013.56
2021-12-23,57573.035
2021-12-24,42253.34
2021-12-25,26822.527
2021-12-26,25889.268
2021-12-27,32090.047
2021-12-28,31224.047
2021-12-29,44040.363
2021-12-30,36958.875
2021-12-31,38516.55
