date,rental
2021-01-01,24541.076
2021-01-02,26018.377
2021-01-03,17815.865
2021-01-04,33637.844
2021-01-05,26186.963
2021-01-06,22190.535
2021-01-07,13949.282
2021-01-08,25130.656
2021-01-09,19951.92
2021-01-10,17570.426
2021-01-11,21674.932
2021-01-12,21921.705
2021-01-13,32334.617
2021-01-14,38222.31
2021-01-15,25778.715
2021-01-16,24488.12
2021-01-17,18888.098
2021-01-18,22106.086
2021-01-19,31331.379
2021-01-20,38276.26
2021-01-21,17911.566
2021-01-22,6203.675
2021-01-23,38045.63
2021-01-24,42222.562
2021-01-25,51430.625
2021-01-26,23943.898
2021-01-27,39003.72
2021-01-28,25133.557
2021-01-29,23201.936
2021-01-30,29314.02
2021-01-31,34212.254
2021-02-01,28829.047
2021-02-02,26028.973
2021-02-03,22920.764
2021-02-04,29863.947
2021-02-05,36292.875
2021-02-06,33201.605
2021-02-07,28322.477
2021-02-08,34599.02
2021-02-09,34975.14
2021-02-10,36468.234
2021-02-11,48668.535
2021-02-12,58762.473
2021-02-13,53106.18
2021-02-14,48841.504
2021-02-15,28469.584
2021-02-16,19712.838
2021-02-17,15926.382
2021-02-18,23956.85
2021-02-19,42469.926
2021-02-20,48329.91
2021-02-21,55501.258
2021-02-22,53316.12
2021-02-23,37623.89
2021-02-24,46544.37
2021-02-25,38309.02
2021-02-26,62180.027
2021-02-27,63949.723
2021-02-28,41126.81
2021-03-01,6800.246
2021-03-02,35780.14
2021-03-03,53614.51
2021-03-04,64377.273
2021-03-05,72067.805
2021-03-06,54663.184
2021-03-07,56597.89
2021-03-08,72243.484
2021-03-09,64465.19
2021-03-10,82478.57
2021-03-11,71395.2
2021-03-12,72016.13
2021-03-13,62422.145
2021-03-14,48908.625
2021-03-15,62536.55
2021-03-16,58948.887
2021-03-17,73985.43
2021-03-18,80299.29
2021-03-19,84983.945
2021-03-20,30787.443
2021-03-21,34034.47
2021-03-22,70124.46
2021-03-23,81417.81
2021-03-24,80302.66
2021-03-25,77965.54
2021-03-26,77295.01
2021-03-27,15887.285
2021-03-28,11841.616
2021-03-29,65768.34
2021-03-30,79861.984
2021-03-31,97967.836
2021-04-01,113185.31
2021-04-02,109200.74
2021-04-03,18077.178
2021-04-04,75825.484
2021-04-05,97431.99
2021-04-06,109181.69
2021-04-07,112736.94
2021-04-08,113092.086
2021-04-09,105157.08
2021-04-10,107681.125
