date,rental
2021-01-01,23792.18
2021-01-02,29104.45
2021-01-03,16482.602
2021-01-04,31910.654
2021-01-05,26002.922
2021-01-06,20608.701
2021-01-07,13151.135
2021-01-08,22498.148
2021-01-09,17819.23
2021-01-10,17689.777
2021-01-11,20785.031
2021-01-12,21165.775
2021-01-13,34258.72
2021-01-14,36881.73
2021-01-15,25263.209
2021-01-16,21539.377
2021-01-17,18358.6
2021-01-18,20594.594
2021-01-19,27130.178
2021-01-20,38455.844
2021-01-21,18650.963
2021-01-22,6697.224
2021-01-23,40821.07
2021-01-24,42366.93
2021-01-25,51240.223
2021-01-26,23480.328
2021-01-27,39614.184
2021-01-28,21114.867
2021-01-29,22417.527
2021-01-30,26536.402
2021-01-31,35344.46
2021-02-01,27540.963
2021-02-02,26207.275
2021-02-03,21979.611
2021-02-04,29002.51
2021-02-05,38596.715
2021-02-06,32155.637
2021-02-07,28284.229
2021-02-08,32318.615
2021-02-09,34207.098
2021-02-10,36827.39
2021-02-11,49057.04
2021-02-12,55574.508
2021-02-13,55935.29
2021-02-14,51114.25
2021-02-15,28470.941
2021-02-16,18917.395
2021-02-17,15879.786
2021-02-18,24812.902
2021-02-19,41894.418
2021-02-20,47038.773
2021-02-21,56878.29
2021-02-22,53114.89
2021-02-23,37323.83
2021-02-24,48337.973
2021-02-25,37918.594
2021-02-26,65667.0
2021-02-27,61755.402
2021-02-28,38545.215
2021-03-01,7625.053
2021-03-02,37876.848
2021-03-03,55428.734
2021-03-04,64677.59
2021-03-05,76744.19
2021-03-06,53348.625
2021-03-07,54846.26
2021-03-08,68595.77
2021-03-09,64864.88
2021-03-10,80602.51
2021-03-11,76159.805
2021-03-12,68492.3
2021-03-13,60367.113
2021-03-14,49610.145
2021-03-15,63471.18
2021-03-16,55181.26
2021-03-17,71930.55
2021-03-18,78591.43
2021-03-19,84975.44
2021-03-20,28895.191
2021-03-21,34350.617
2021-03-22,66910.74
2021-03-23,78465.46
2021-03-24,82128.1
2021-03-25,80500.414
2021-03-26,82656.055
2021-03-27,16513.145
2021-03-28,11244.297
2021-03-29,60786.535
2021-03-30,80364.484
2021-03-31,100617.79
2021-04-01,114453.8
2021-04-02,103516.68
2021-04-03,17784.273
2021-04-04,75788.54
2021-04-05,105150.055
2021-04-06,108295.03
2021-04-07,108877.23
2021-04-08,115638.29
2021-04-09,109713.17
2021-04-10,108299.055
2021-04-11,113356.09
2021-04-12,24603.11
2021-04-13,60197.457
2021-04-14,90492.73
2021-04-15,107047.734
2021-04-16,75070.62
2021-04-17,77423.305
2021-04-18,87827.625
2021-04-19,103886.95
2021-04-20,112503.01
2021-04-21,117779.05
2021-04-22,108206.15
2021-04-23,94005.4
2021-04-24,121633.51
2021-04-25,120553.84
2021-04-26,117161.875
2021-04-27,78675.34
2021-04-28,72527.9
2021-04-29,87335.33
2021-04-30,38410.062
2021-05-01,54858.086
2021-05-02,102359.74
2021-05-03,130219.43
2021-05-04,21858.572
2021-05-05,105984.27
2021-05-06,119812.38
2021-05-07,71649.625
2021-05-08,119119.23
2021-05-09,121100.96
2021-05-10,80085.305
2021-05-11,135922.55
2021-05-12,135141.6
2021-05-13,133031.69
2021-05-14,132441.14
2021-05-15,54827.957
2021-05-16,9031.532
2021-05-17,25055.104
2021-05-18,131332.66
2021-05-19,137262.45
2021-05-20,65701.33
2021-05-21,86259.73
2021-05-22,122893.016
2021-05-23,127414.98
2021-05-24,125441.36
2021-05-25,83104.54
2021-05-26,127889.15
2021-05-27,60279.836
2021-05-28,64470.48
2021-05-29,103730.14
2021-05-30,94038.94
2021-05-31,89753.74
2021-06-01,104604.26
2021-06-02,132572.44
2021-06-03,61974.89
2021-06-04,143359.6
2021-06-05,143224.98
2021-06-06,133212.72
2021-06-07,123853.695
2021-06-08,144901.95
2021-06-09,139115.23
2021-06-10,103131.69
2021-06-11,108805.81
2021-06-12,139340.56
2021-06-13,128248.73
2021-06-14,134367.81
2021-06-15,123691.27
2021-06-16,145740.98
2021-06-17,136066.12
2021-06-18,51860.215
2021-06-19,135601.84
2021-06-20,119004.875
2021-06-21,146996.86
2021-06-22,140236.97
2021-06-23,117824.2
2021-06-24,134791.75
2021-06-25,138674.67
2021-06-26,106728.56
2021-06-27,64977.38
2021-06-28,139212.78
2021-06-29,120704.55
2021-06-30,127489.36
2021-07-01,139188.75
2021-07-02,127022.125
2021-07-03,76509.82
2021-07-04,19264.168
2021-07-05,139765.53
2021-07-06,137434.56
2021-07-07,84275.08
2021-07-08,116035.0
2021-07-09,116139.4
2021-07-10,122437.01
2021-07-11,106866.17
2021-07-12,112266.47
2021-07-13,114478.24
2021-07-14,106034.516
2021-07-15,109250.01
2021-07-16,82694.375
2021-07-17,99268.73
2021-07-18,96844.29
2021-07-19,83339.78
2021-07-20,117043.16
2021-07-21,99025.16
2021-07-22,93630.95
2021-07-23,97103.6
2021-07-24,88716.18
2021-07-25,92930.92
2021-07-26,98738.09
2021-07-27,103119.78
2021-07-28,101729.125
2021-07-29,115319.02
2021-07-30,109741.64
2021-07-31,85444.414
2021-08-01,43869.332
2021-08-02,99716.01
2021-08-03,110601.945
2021-08-04,108798.87
2021-08-05,108964.91
2021-08-06,105652.86
2021-08-07,112108.66
2021-08-08,69022.65
2021-08-09,115112.234
2021-08-10,123922.1
2021-08-11,127388.85
2021-08-12,132274.14
2021-08-13,131716.36
2021-08-14,128459.39
2021-08-15,114717.37
2021-08-16,122888.086
2021-08-17,90727.164
2021-08-18,113113.77
2021-08-19,141431.12
2021-08-20,132633.53
2021-08-21,60177.254
2021-08-22,129503.35
2021-08-23,67336.57
2021-08-24,28792.473
2021-08-25,120844.375
2021-08-26,102696.9
2021-08-27,104871.05
2021-08-28,129357.445
2021-08-29,122971.56
2021-08-30,141603.2
2021-08-31,21676.69
2021-09-01,85002.67
2021-09-02,143592.61
2021-09-03,120659.54
2021-09-04,150402.05
2021-09-05,141846.48
2021-09-06,94297.66
2021-09-07,14197.042
2021-09-08,106772.24
2021-09-09,141256.97
2021-09-10,143229.08
2021-09-11,140556.17
2021-09-12,136085.97
2021-09-13,136085.33
2021-09-14,139948.78
2021-09-15,150131.77
2021-09-16,138346.42
2021-09-17,148010.39
2021-09-18,155570.66
2021-09-19,134812.58
2021-09-20,124509.32
2021-09-21,81767.58
2021-09-22,109540.15
2021-09-23,141790.9
2021-09-24,146414.0
2021-09-25,123520.11
2021-09-26,150133.92
2021-09-27,140869.78
2021-09-28,119175.586
2021-09-29,25018.951
2021-09-30,143708.52
2021-10-01,99644.43
2021-10-02,146497.81
2021-10-03,132997.42
2021-10-04,66473.78
2021-10-05,122331.85
2021-10-06,65113.6
2021-10-07,73601.11
2021-10-08,58845.25
2021-10-09,124227.75
2021-10-10,63867.504
2021-10-11,113169.984
2021-10-12,115009.63
2021-10-13,139380.58
2021-10-14,126982.266
2021-10-15,130771.37
2021-10-16,115560.68
2021-10-17,75963.8
2021-10-18,82516.73
2021-10-19,87939.6
2021-10-20,113279.47
2021-10-21,114005.29
2021-10-22,126162.89
2021-10-23,127977.37
2021-10-24,114716.82
2021-10-25,118814.82
2021-10-26,129191.625
2021-10-27,127202.266
2021-10-28,143037.02
2021-10-29,149705.42
2021-10-30,112720.27
2021-10-31,118325.984
2021-11-01,118369.99
2021-11-02,120995.67
2021-11-03,126948.0
2021-11-04,103704.32
2021-11-05,131763.6
2021-11-06,121217.195
2021-11-07,122852.47
2021-11-08,30256.188
2021-11-09,48102.383
2021-11-10,66880.18
2021-11-11,87326.164
2021-11-12,83856.414
2021-11-13,96238.56
2021-11-14,105626.87
2021-11-15,110273.87
2021-11-16,106599.07
2021-11-17,105203.516
2021-11-18,112326.016
2021-11-19,107112.375
2021-11-20,89363.24
2021-11-21,49691.164
2021-11-22,60027.477
2021-11-23,51704.754
2021-11-24,71722.71
2021-11-25,86196.66
2021-11-26,73383.766
2021-11-27,64931.97
2021-11-28,89277.46
2021-11-29,107510.28
2021-11-30,27535.684
2021-12-01,43861.465
2021-12-02,63480.383
2021-12-03,57418.516
2021-12-04,58287.438
2021-12-05,52814.043
2021-12-06,78116.11
2021-12-07,86786.836
2021-12-08,90733.05
2021-12-09,74993.195
2021-12-10,51090.566
2021-12-11,59302.21
2021-12-12,43501.08
2021-12-13,47393.2
2021-12-14,58439.28
2021-12-15,56230.152
2021-12-16,73844.875
2021-12-17,36396.24
2021-12-18,28810.71
2021-12-19,35724.87
2021-12-20,68784.51
2021-12-21,70869.53
2021-12-22,64806.324
2021-12-23,61816.98
2021-12-24,42908.523
2021-12-25,25046.025
2021-12-26,24415.104
2021-12-27,33858.06
2021-12-28,33939.625
2021-12-29,44793.133
2021-12-30,35138.4
2021-12-31,37624.32
