date,rental
2021-01-01,22798.803
2021-01-02,28337.336
2021-01-03,17928.52
2021-01-04,33049.207
2021-01-05,26437.0
2021-01-06,18910.738
2021-01-07,10997.23
2021-01-08,22688.807
2021-01-09,18786.232
2021-01-10,18606.598
2021-01-11,20154.727
2021-01-12,20389.732
2021-01-13,33511.777
2021-01-14,36879.688
2021-01-15,25717.666
2021-01-16,22340.117
2021-01-17,18208.477
2021-01-18,19649.898
2021-01-19,28162.371
2021-01-20,38936.26
2021-01-21,19159.672
2021-01-22,7075.151
2021-01-23,40608.824
2021-01-24,45424.88
2021-01-25,53693.008
2021-01-26,22728.764
2021-01-27,39683.04
2021-01-28,21276.04
2021-01-29,22682.445
2021-01-30,27980.082
2021-01-31,34205.47
2021-02-01,28856.72
2021-02-02,25672.574
2021-02-03,23032.04
2021-02-04,29986.754
2021-02-05,37466.59
2021-02-06,31675.904
2021-02-07,28211.676
2021-02-08,31565.44
2021-02-09,33545.387
2021-02-10,37774.79
2021-02-11,46616.07
2021-02-12,53503.266
2021-02-13,47271.32
2021-02-14,47139.055
2021-02-15,28227.445
2021-02-16,17828.615
2021-02-17,15296.098
2021-02-18,25494.848
2021-02-19,41137.87
2021-02-20,45193.355
2021-02-21,54017.355
2021-02-22,52224.17
2021-02-23,36583.188
2021-02-24,47842.88
2021-02-25,38181.285
2021-02-26,65125.96
2021-02-27,58469.72
2021-02-28,38200.223
2021-03-01,8071.779
2021-03-02,38007.406
2021-03-03,54128.848
2021-03-04,64681.598
2021-03-05,75534.76
2021-03-06,49908.832
2021-03-07,55550.4
2021-03-08,67975.28
2021-03-09,62189.93
2021-03-10,76612.04
2021-03-11,74598.16
2021-03-12,65759.63
2021-03-13,62012.61
2021-03-14,48539.066
2021-03-15,61886.586
2021-03-16,54226.605
2021-03-17,70660.65
2021-03-18,83368.24
2021-03-19,87478.45
2021-03-20,28298.445
2021-03-21,35016.66
2021-03-22,64086.668
2021-03-23,82989.93
2021-03-24,81402.05
2021-03-25,82737.68
2021-03-26,83437.36
2021-03-27,20350.121
2021-03-28,10601.676
2021-03-29,56754.64
2021-03-30,76120.95
2021-03-31,104879.86
2021-04-01,112381.3
2021-04-02,106875.65
2021-04-03,16478.72
2021-04-04,70782.12
2021-04-05,105916.68
2021-04-06,107366.83
2021-04-07,107402.984
2021-04-08,116518.82
2021-04-09,106858.22
2021-04-10,110360.02
2021-04-11,111421.164
2021-04-12,23990.598
2021-04-13,61527.254
2021-04-14,88669.83
2021-04-15,106481.21
2021-04-16,68620.31
2021-04-17,77263.61
2021-04-18,86382.96
2021-04-19,104684.39
2021-04-20,111589.3
2021-04-21,120681.984
2021-04-22,105991.86
2021-04-23,90703.63
2021-04-24,118309.055
2021-04-25,117586.445
2021-04-26,115913.555
2021-04-27,69237.375
2021-04-28,72367.61
2021-04-29,79650.375
2021-04-30,39454.39
2021-05-01,59067.742
2021-05-02,101182.445
2021-05-03,128107.91
2021-05-04,25788.477
2021-05-05,110761.336
2021-05-06,122751.87
2021-05-07,87382.07
2021-05-08,123525.76
2021-05-09,119731.98
2021-05-10,80534.12
2021-05-11,133733.2
2021-05-12,137775.9
2021-05-13,135890.02
2021-05-14,132571.3
2021-05-15,48791.17
2021-05-16,9186.091
2021-05-17,22908.963
2021-05-18,132554.36
2021-05-19,134526.3
2021-05-20,59876.99
2021-05-21,78892.336
2021-05-22,126258.83
2021-05-23,131528.33
2021-05-24,126795.555
2021-05-25,90567.24
2021-05-26,125228.59
2021-05-27,68477.53
2021-05-28,62541.742
2021-05-29,96074.22
2021-05-30,95847.35
2021-05-31,88205.78
2021-06-01,92162.086
2021-06-02,131926.44
2021-06-03,57871.293
2021-06-04,143075.48
2021-06-05,144178.95
2021-06-06,132379.27
2021-06-07,121351.73
2021-06-08,144929.47
2021-06-09,138505.89
2021-06-10,106919.28
2021-06-11,106270.51
2021-06-12,138153.8
2021-06-13,125905.19
2021-06-14,135828.6
2021-06-15,113162.75
2021-06-16,144672.88
2021-06-17,138778.27
2021-06-18,55287.09
2021-06-19,138378.61
2021-06-20,123350.83
2021-06-21,145081.44
2021-06-22,144201.1
2021-06-23,120087.85
2021-06-24,140008.86
2021-06-25,138641.1
2021-06-26,105737.03
2021-06-27,73395.45
2021-06-28,137508.25
2021-06-29,122891.96
2021-06-30,127095.68
2021-07-01,146477.27
2021-07-02,128866.766
2021-07-03,59455.336
2021-07-04,18111.088
2021-07-05,138767.55
2021-07-06,133520.77
2021-07-07,81229.03
2021-07-08,101909.26
2021-07-09,118433.234
2021-07-10,117149.805
2021-07-11,102480.87
2021-07-12,109994.48
2021-07-13,111271.43
2021-07-14,106684.71
2021-07-15,108083.1
2021-07-16,80207.52
2021-07-17,99695.38
2021-07-18,93755.15
2021-07-19,87256.57
2021-07-20,119024.63
2021-07-21,100153.38
2021-07-22,94052.836
2021-07-23,99905.35
2021-07-24,87713.45
2021-07-25,88951.11
2021-07-26,99924.4
2021-07-27,101652.414
2021-07-28,106398.08
2021-07-29,106234.02
2021-07-30,111998.695
2021-07-31,82190.79
2021-08-01,46772.38
2021-08-02,99247.24
2021-08-03,113312.43
2021-08-04,110059.85
2021-08-05,109913.734
2021-08-06,108226.99
2021-08-07,114246.586
2021-08-08,68668.555
2021-08-09,121005.26
2021-08-10,122372.81
2021-08-11,126984.695
2021-08-12,136195.03
2021-08-13,137060.75
2021-08-14,128316.13
2021-08-15,115269.54
2021-08-16,122699.32
2021-08-17,93169.89
2021-08-18,110486.4
2021-08-19,144749.06
2021-08-20,138983.3
2021-08-21,53053.18
2021-08-22,124972.086
2021-08-23,67314.164
2021-08-24,30998.072
2021-08-25,118749.8
2021-08-26,99809.83
2021-08-27,91778.61
2021-08-28,132696.4
2021-08-29,120871.58
2021-08-30,147887.64
2021-08-31,28572.16
2021-09-01,88587.08
2021-09-02,147714.4
2021-09-03,127936.36
2021-09-04,157091.67
2021-09-05,145230.11
2021-09-06,94175.88
2021-09-07,18260.371
2021-09-08,114481.625
2021-09-09,146936.73
2021-09-10,145118.53
2021-09-11,142876.69
2021-09-12,141203.08
2021-09-13,131808.72
2021-09-14,147997.4
2021-09-15,161664.77
2021-09-16,147883.4
2021-09-17,151956.12
2021-09-18,154925.14
2021-09-19,141505.86
2021-09-20,132314.39
2021-09-21,83693.75
2021-09-22,115943.4
2021-09-23,143906.97
2021-09-24,149914.86
2021-09-25,135490.02
2021-09-26,150980.92
2021-09-27,139942.78
2021-09-28,117465.85
2021-09-29,26628.736
2021-09-30,142199.88
2021-10-01,105055.734
2021-10-02,150032.02
2021-10-03,135321.77
2021-10-04,68578.695
2021-10-05,123174.03
2021-10-06,78174.98
2021-10-07,72417.734
2021-10-08,61763.355
2021-10-09,112034.59
2021-10-10,62124.723
2021-10-11,111249.79
2021-10-12,110588.98
2021-10-13,141225.72
2021-10-14,133279.17
2021-10-15,123600.59
2021-10-16,118559.125
2021-10-17,80975.03
2021-10-18,81460.445
2021-10-19,90172.68
2021-10-20,114870.086
2021-10-21,113283.16
2021-10-22,122551.85
2021-10-23,132937.06
2021-10-24,114278.516
2021-10-25,120647.47
2021-10-26,129971.79
2021-10-27,128209.34
2021-10-28,143484.33
2021-10-29,146662.05
2021-10-30,115944.18
2021-10-31,107978.53
2021-11-01,122879.89
2021-11-02,124313.44
2021-11-03,132428.14
2021-11-04,105898.39
2021-11-05,130814.4
2021-11-06,121834.234
2021-11-07,127179.09
2021-11-08,41612.168
2021-11-09,47195.55
2021-11-10,66555.94
2021-11-11,90595.055
2021-11-12,85207.125
2021-11-13,96085.586
2021-11-14,103614.06
2021-11-15,109849.38
2021-11-16,104909.57
2021-11-17,99656.984
2021-11-18,111486.0
2021-11-19,115468.36
2021-11-20,88939.15
2021-11-21,46993.707
2021-11-22,52926.49
2021-11-23,47802.336
2021-11-24,70554.055
2021-11-25,88639.555
2021-11-26,73421.36
2021-11-27,62217.99
2021-11-28,86598.914
2021-11-29,108881.28
2021-11-30,33268.676
2021-12-01,42119.203
2021-12-02,63253.574
2021-12-03,60027.02
2021-12-04,55628.492
2021-12-05,54040.645
2021-12-06,79915.47
2021-12-07,83537.85
2021-12-08,90616.836
2021-12-09,73391.81
2021-12-10,53226.957
2021-12-11,58220.55
2021-12-12,43147.68
2021-12-13,47114.332
2021-12-14,49484.355
2021-12-15,57260.64
2021-12-16,74275.16
2021-12-17,37164.273
2021-12-18,27360.53
2021-12-19,33970.293
2021-12-20,65840.586
2021-12-21,69174.016
2021-12-22,66520.21
2021-12-23,61565.934
2021-12-24,40791.805
2021-12-25,25914.29
2021-12-26,25864.514
2021-12-27,32515.898
2021-12-28,31809.652
2021-12-29,44192.043
2021-12-30,36165.414
2021-12-31,38386.04
