date,rental
2021-01-01,26941.537
2021-01-02,20102.395
2021-01-03,14674.145
2021-01-04,29296.846
2021-01-05,19864.479
2021-01-06,14348.291
2021-01-07,9961.165
2021-01-08,14706.562
2021-01-09,11395.561
2021-01-10,11605.469
2021-01-11,16110.681
2021-01-12,15657.978
2021-01-13,26746.533
2021-01-14,35891.8
2021-01-15,30404.377
2021-01-16,16448.709
2021-01-17,14486.486
2021-01-18,23212.008
2021-01-19,20159.219
2021-01-20,37926.207
2021-01-21,25522.855
2021-01-22,15725.55
2021-01-23,52078.1
2021-01-24,48442.14
2021-01-25,72180.91
2021-01-26,29437.092
2021-01-27,40785.754
2021-01-28,24613.092
2021-01-29,22025.018
2021-01-30,23196.238
2021-01-31,20368.982
2021-02-01,25833.078
2021-02-02,21001.809
2021-02-03,21370.885
2021-02-04,27128.867
2021-02-05,33208.004
2021-02-06,28954.668
2021-02-07,24814.932
2021-02-08,30913.889
2021-02-09,36026.82
2021-02-10,34121.105
2021-02-11,41643.45
2021-02-12,37162.93
2021-02-13,40232.758
2021-02-14,41216.72
2021-02-15,19932.627
2021-02-16,22345.375
2021-02-17,17328.652
2021-02-18,24757.695
2021-02-19,22997.617
2021-02-20,58232.043
2021-02-21,57163.277
2021-02-22,42629.36
2021-02-23,39911.99
2021-02-24,36226.434
2021-02-25,39608.734
2021-02-26,39126.668
2021-02-27,72160.016
2021-02-28,34902.72
2021-03-01,5997.202
2021-03-02,37086.06
2021-03-03,59608.348
2021-03-04,56036.234
2021-03-05,79825.83
2021-03-06,46370.836
2021-03-07,53480.4
2021-03-08,68749.51
2021-03-09,74001.41
2021-03-10,69719.81
2021-03-11,64107.605
2021-03-12,48064.6
2021-03-13,58083.117
2021-03-14,51172.29
2021-03-15,61092.26
2021-03-16,67138.38
2021-03-17,76427.91
2021-03-18,74482.6
2021-03-19,96367.336
2021-03-20,27480.178
2021-03-21,32337.27
2021-03-22,52415.164
2021-03-23,75633.234
2021-03-24,76710.66
2021-03-25,73903.805
2021-03-26,74328.6
2021-03-27,21992.92
2021-03-28,11582.556
2021-03-29,56426.586
2021-03-30,85408.91
2021-03-31,93752.98
2021-04-01,107076.875
2021-04-02,114900.37
2021-04-03,32344.883
2021-04-04,64392.633
2021-04-05,105932.13
2021-04-06,114545.0
2021-04-07,104054.195
2021-04-08,108211.95
2021-04-09,115127.63
2021-04-10,106498.43
2021-04-11,96285.39
2021-04-12,34772.7
2021-04-13,72109.2
2021-04-14,90529.65
2021-04-15,104399.38
2021-04-16,80787.76
2021-04-17,76726.09
2021-04-18,71682.91
2021-04-19,105840.336
2021-04-20,113873.086
2021-04-21,110710.5
2021-04-22,107498.94
2021-04-23,111499.33
2021-04-24,109371.73
2021-04-25,99054.45
2021-04-26,99543.09
2021-04-27,76002.805
2021-04-28,76861.29
2021-04-29,96149.695
2021-04-30,49338.375
2021-05-01,47920.066
2021-05-02,86015.05
2021-05-03,117091.836
2021-05-04,27917.893
2021-05-05,110946.94
2021-05-06,117272.805
2021-05-07,89124.27
2021-05-08,113336.48
2021-05-09,106619.305
2021-05-10,48487.28
2021-05-11,125210.61
2021-05-12,126970.6
2021-05-13,126078.37
2021-05-14,132977.69
2021-05-15,46069.633
2021-05-16,20732.354
2021-05-17,26873.5
2021-05-18,129908.25
2021-05-19,124026.22
2021-05-20,79549.59
2021-05-21,57380.92
2021-05-22,126285.13
2021-05-23,110986.445
2021-05-24,124674.484
2021-05-25,100914.38
2021-05-26,127433.516
2021-05-27,62382.9
2021-05-28,64163.13
2021-05-29,111297.6
2021-05-30,79436.266
2021-05-31,98328.49
2021-06-01,103943.58
2021-06-02,127440.07
2021-06-03,72579.34
2021-06-04,136313.84
2021-06-05,134723.42
2021-06-06,115338.14
2021-06-07,120838.375
2021-06-08,141182.27
2021-06-09,132226.66
2021-06-10,88009.77
2021-06-11,107719.375
2021-06-12,131194.38
2021-06-13,110383.08
2021-06-14,130186.766
2021-06-15,105428.44
2021-06-16,138479.53
2021-06-17,122686.945
2021-06-18,41692.695
2021-06-19,134675.52
2021-06-20,118206.516
2021-06-21,131229.38
2021-06-22,141676.33
2021-06-23,103059.086
2021-06-24,133686.31
2021-06-25,143350.89
2021-06-26,102040.6
2021-06-27,75355.01
2021-06-28,128124.51
2021-06-29,112570.555
2021-06-30,105714.0
2021-07-01,132751.36
2021-07-02,141855.06
2021-07-03,69297.02
2021-07-04,26019.229
2021-07-05,125863.41
2021-07-06,142325.4
2021-07-07,72965.53
2021-07-08,116186.51
2021-07-09,127533.54
2021-07-10,107096.4
2021-07-11,91271.25
2021-07-12,120891.984
2021-07-13,112215.445
2021-07-14,110062.75
2021-07-15,111427.04
2021-07-16,118494.84
2021-07-17,102186.48
2021-07-18,86229.74
2021-07-19,71648.28
2021-07-20,123284.89
2021-07-21,109744.84
2021-07-22,108250.77
2021-07-23,115120.38
2021-07-24,92844.875
2021-07-25,81472.61
2021-07-26,104903.27
2021-07-27,121142.234
2021-07-28,112640.5
2021-07-29,114602.586
2021-07-30,117426.69
2021-07-31,91491.586
