date,rental
2021-01-01,18628.723
2021-01-02,26560.887
2021-01-03,18206.672
2021-01-04,33704.06
2021-01-05,26330.639
2021-01-06,18904.445
2021-01-07,15218.319
2021-01-08,21175.004
2021-01-09,17022.834
2021-01-10,17614.822
2021-01-11,21422.15
2021-01-12,19983.496
2021-01-13,36621.48
2021-01-14,37532.684
2021-01-15,30638.0
2021-01-16,22553.19
2021-01-17,18396.723
2021-01-18,21795.08
2021-01-19,31233.4
2021-01-20,38186.453
2021-01-21,18263.193
2021-01-22,7105.6597
2021-01-23,44126.594
2021-01-24,48042.688
2021-01-25,53256.613
2021-01-26,25598.227
2021-01-27,42038.26
2021-01-28,24991.43
2021-01-29,23494.555
2021-01-30,29055.691
2021-01-31,33451.074
2021-02-01,29994.82
2021-02-02,29458.943
2021-02-03,20914.723
2021-02-04,32507.275
2021-02-05,38934.145
2021-02-06,36710.547
2021-02-07,28560.334
2021-02-08,32503.059
2021-02-09,35513.71
2021-02-10,38922.785
2021-02-11,32531.902
2021-02-12,43696.836
2021-02-13,46262.867
2021-02-14,44081.926
2021-02-15,25182.168
2021-02-16,20921.924
2021-02-17,15106.924
2021-02-18,24811.389
2021-02-19,36890.277
2021-02-20,50119.754
2021-02-21,50691.03
2021-02-22,49946.97
2021-02-23,37476.418
2021-02-24,47159.734
2021-02-25,42531.863
2021-02-26,66226.18
2021-02-27,60254.836
2021-02-28,41626.938
2021-03-01,6649.641
2021-03-02,42353.758
2021-03-03,58814.168
2021-03-04,62849.25
2021-03-05,70253.12
2021-03-06,54656.824
2021-03-07,55181.68
2021-03-08,68227.34
2021-03-09,59712.812
2021-03-10,79212.83
2021-03-11,70260.36
2021-03-12,75828.805
2021-03-13,61643.254
2021-03-14,55125.03
2021-03-15,58032.234
2021-03-16,60054.79
2021-03-17,77586.06
2021-03-18,80802.85
2021-03-19,83544.62
2021-03-20,27741.896
2021-03-21,38581.7
2021-03-22,67069.57
2021-03-23,76855.0
2021-03-24,79648.4
2021-03-25,78368.39
2021-03-26,79871.58
2021-03-27,15733.404
2021-03-28,10865.6
2021-03-29,66199.79
2021-03-30,84996.19
2021-03-31,99571.95
2021-04-01,106952.94
2021-04-02,101338.414
2021-04-03,17605.889
2021-04-04,75175.51
2021-04-05,109060.65
2021-04-06,106273.44
2021-04-07,101382.586
2021-04-08,111078.78
2021-04-09,110764.3
2021-04-10,110823.04
2021-04-11,109342.05
2021-04-12,24964.082
2021-04-13,62564.168
2021-04-14,93495.85
2021-04-15,106236.35
2021-04-16,83052.88
2021-04-17,78312.95
2021-04-18,95802.2
2021-04-19,105358.945
2021-04-20,108295.65
2021-04-21,117083.57
2021-04-22,102113.46
2021-04-23,103409.625
2021-04-24,111211.28
2021-04-25,115469.13
2021-04-26,120242.09
2021-04-27,92598.72
2021-04-28,74343.26
2021-04-29,85813.2
2021-04-30,35498.27
2021-05-01,55896.145
2021-05-02,102819.586
2021-05-03,122670.88
2021-05-04,23168.08
2021-05-05,129706.55
2021-05-06,116682.945
2021-05-07,76522.445
2021-05-08,107833.33
2021-05-09,114722.19
2021-05-10,81537.01
2021-05-11,130608.72
2021-05-12,134724.92
2021-05-13,133407.23
2021-05-14,130364.31
2021-05-15,59213.824
2021-05-16,9661.639
2021-05-17,27623.8
2021-05-18,129902.14
2021-05-19,129461.734
2021-05-20,67463.98
2021-05-21,93976.17
2021-05-22,127272.4
2021-05-23,123586.1
2021-05-24,132919.19
2021-05-25,89137.76
2021-05-26,126642.92
2021-05-27,66214.24
2021-05-28,68541.3
2021-05-29,106682.266
2021-05-30,81155.48
2021-05-31,94954.73
2021-06-01,118383.55
2021-06-02,135089.53
2021-06-03,64637.383
2021-06-04,138802.75
2021-06-05,141141.97
2021-06-06,130107.836
2021-06-07,118650.17
2021-06-08,133701.97
2021-06-09,132500.77
2021-06-10,109258.87
2021-06-11,107199.76
2021-06-12,135257.25
2021-06-13,124619.21
2021-06-14,133489.33
2021-06-15,122357.76
2021-06-16,147108.78
2021-06-17,137141.42
2021-06-18,64498.95
2021-06-19,142439.83
2021-06-20,123780.13
2021-06-21,143959.95
2021-06-22,139973.22
2021-06-23,120266.76
2021-06-24,145442.73
2021-06-25,141179.8
2021-06-26,108571.97
2021-06-27,65223.05
2021-06-28,142450.56
2021-06-29,115954.35
2021-06-30,121442.61
2021-07-01,139380.84
2021-07-02,136031.1
2021-07-03,62861.3
2021-07-04,13728.074
2021-07-05,134444.1
2021-07-06,135435.38
2021-07-07,80070.33
2021-07-08,115824.38
2021-07-09,125415.76
2021-07-10,118410.42
2021-07-11,100704.87
2021-07-12,118222.2
2021-07-13,110462.805
2021-07-14,103447.49
2021-07-15,111589.72
2021-07-16,77038.9
2021-07-17,103098.055
2021-07-18,99494.49
2021-07-19,90977.31
2021-07-20,121164.96
2021-07-21,95933.586
2021-07-22,95290.195
2021-07-23,97900.4
2021-07-24,84226.46
2021-07-25,91844.195
2021-07-26,92485.664
2021-07-27,105718.07
2021-07-28,103593.02
2021-07-29,117688.1
2021-07-30,103310.164
2021-07-31,88073.805
2021-08-01,47277.406
2021-08-02,96114.91
2021-08-03,119173.54
2021-08-04,108769.09
2021-08-05,108422.87
