date,rental
2021-01-01,28246
2021-01-02,22994
2021-01-03,23159
2021-01-04,30304
2021-01-05,29507
2021-01-06,18858
2021-01-07,20959
2021-01-08,27657
2021-01-09,25138
2021-01-10,21860
2021-01-11,27642
2021-01-12,14865
2021-01-13,32733
2021-01-14,33558
2021-01-15,20021
2021-01-16,28552
2021-01-17,23198
2021-01-18,20938
2021-01-19,27630
2021-01-20,34738
2021-01-21,17683
2021-01-22,21361
2021-01-23,44736
2021-01-24,40908
2021-01-25,44491
2021-01-26,20636
2021-01-27,38631
2021-01-28,15827
2021-01-29,27765
2021-01-30,27791
2021-01-31,31624
2021-02-01,19049
2021-02-02,31667
2021-02-03,15085
2021-02-04,26430
2021-02-05,30899
2021-02-06,30802
2021-02-07,24853
2021-02-08,33069
2021-02-09,29227
2021-02-10,30867
2021-02-11,41205
2021-02-12,50364
2021-02-13,60734
2021-02-14,51068
2021-02-15,17595
2021-02-16,16392
2021-02-17,9846
2021-02-18,27723
2021-02-19,38270
2021-02-20,42733
2021-02-21,69734
2021-02-22,43164
2021-02-23,37644
2021-02-24,41443
2021-02-25,39869
2021-02-26,77143
2021-02-27,74350
2021-02-28,40529
2021-03-01,27340
2021-03-02,32769
2021-03-03,49641
2021-03-04,55152
2021-03-05,69054
2021-03-06,48753
2021-03-07,51749
2021-03-08,56658
2021-03-09,57888
2021-03-10,70235
2021-03-11,67962
2021-03-12,52789
2021-03-13,51527
2021-03-14,49902
2021-03-15,51802
2021-03-16,55877
2021-03-17,73748
2021-03-18,78493
2021-03-19,75664
2021-03-20,21608
2021-03-21,35220
2021-03-22,59626
2021-03-23,75258
2021-03-24,71518
2021-03-25,79755
2021-03-26,80728
2021-03-27,9545
2021-03-28,40577
2021-03-29,52343
2021-03-30,77507
2021-03-31,96845
2021-04-01,112178
2021-04-02,107054
2021-04-03,28725
2021-04-04,81605
2021-04-05,90980
2021-04-06,96113
2021-04-07,97325
2021-04-08,98199
2021-04-09,98068
2021-04-10,93074
2021-04-11,99516
2021-04-12,29467
2021-04-13,55681
2021-04-14,79070
2021-04-15,96620
2021-04-16,63157
2021-04-17,69145
2021-04-18,83192
2021-04-19,95081
2021-04-20,93555
2021-04-21,105189
2021-04-22,107296
2021-04-23,92581
2021-04-24,106177
2021-04-25,109971
2021-04-26,98273
2021-04-27,63380
2021-04-28,60198
2021-04-29,55003
2021-04-30,44106
2021-05-01,49211
2021-05-02,107645
2021-05-03,106636
2021-05-04,24440
2021-05-05,105673
2021-05-06,111505
2021-05-07,43717
2021-05-08,99083
2021-05-09,118119
2021-05-10,90475
2021-05-11,123499
2021-05-12,118526
2021-05-13,119997
2021-05-14,119722
2021-05-15,57084
2021-05-16,18361
2021-05-17,44753
2021-05-18,117002
2021-05-19,116700
2021-05-20,74625
2021-05-21,54014
2021-05-22,115820
2021-05-23,111972
2021-05-24,113991
2021-05-25,59383
2021-05-26,112441
2021-05-27,48973
2021-05-28,52134
2021-05-29,94065
2021-05-30,95206
2021-05-31,64888
2021-06-01,82026
2021-06-02,121544
2021-06-03,51074
2021-06-04,125126
2021-06-05,130304
2021-06-06,121202
2021-06-07,124453
2021-06-08,123564
2021-06-09,120327
2021-06-10,82464
2021-06-11,69385
2021-06-12,118677
2021-06-13,115546
2021-06-14,118831
2021-06-15,103277
2021-06-16,133629
2021-06-17,129469
2021-06-18,32522
2021-06-19,126101
2021-06-20,117832
2021-06-21,124312
2021-06-22,125176
2021-06-23,89816
2021-06-24,125262
2021-06-25,126837
2021-06-26,84789
2021-06-27,76782
2021-06-28,123100
2021-06-29,89655
2021-06-30,87964
2021-07-01,117446
2021-07-02,103016
2021-07-03,77160
2021-07-04,48903
2021-07-05,123070
2021-07-06,119443
2021-07-07,72629
2021-07-08,87941
2021-07-09,99144
2021-07-10,94602
2021-07-11,80419
2021-07-12,92213
2021-07-13,104864
2021-07-14,99710
2021-07-15,102999
2021-07-16,86987
2021-07-17,93129
2021-07-18,99763
2021-07-19,59071
2021-07-20,105047
2021-07-21,98881
2021-07-22,97090
2021-07-23,98657
2021-07-24,91696
2021-07-25,98922
2021-07-26,96058
2021-07-27,105260
2021-07-28,100772
2021-07-29,103117
2021-07-30,103246
2021-07-31,71388
2021-08-01,35856
2021-08-02,76685
2021-08-03,93285
2021-08-04,100807
2021-08-05,95562
2021-08-06,80615
2021-08-07,100536
2021-08-08,51363
2021-08-09,110333
2021-08-10,113768
2021-08-11,109088
2021-08-12,106360
2021-08-13,121170
2021-08-14,113416
2021-08-15,116886
2021-08-16,112355
2021-08-17,85070
2021-08-18,100887
2021-08-19,123127
2021-08-20,117840
2021-08-21,72071
2021-08-22,109781
2021-08-23,66180
2021-08-24,45129
2021-08-25,96348
2021-08-26,82587
2021-08-27,87224
2021-08-28,107213
2021-08-29,97040
2021-08-30,119169
2021-08-31,44872
2021-09-01,92427
2021-09-02,128469
2021-09-03,101354
2021-09-04,135858
2021-09-05,135204
2021-09-06,85277
2021-09-07,29917
2021-09-08,107021
2021-09-09,128040
2021-09-10,123404
2021-09-11,115661
2021-09-12,128295
2021-09-13,118562
2021-09-14,131849
2021-09-15,127352
2021-09-16,119074
2021-09-17,137921
2021-09-18,134328
2021-09-19,127948
2021-09-20,123632
2021-09-21,69039
2021-09-22,94382
2021-09-23,124610
2021-09-24,125741
2021-09-25,124118
2021-09-26,126717
2021-09-27,126737
2021-09-28,100357
2021-09-29,24973
2021-09-30,116668
2021-10-01,102265
2021-10-02,123756
2021-10-03,120996
2021-10-04,81169
2021-10-05,106607
2021-10-06,51870
2021-10-07,43699
2021-10-08,55137
2021-10-09,97842
2021-10-10,57359
2021-10-11,97671
2021-10-12,126323
2021-10-13,126106
2021-10-14,122730
2021-10-15,111963
2021-10-16,108804
2021-10-17,79292
2021-10-18,64254
2021-10-19,65297
2021-10-20,99829
2021-10-21,103632
2021-10-22,102806
2021-10-23,111209
2021-10-24,99128
2021-10-25,102542
2021-10-26,110565
2021-10-27,107614
2021-10-28,114976
2021-10-29,124286
2021-10-30,112945
2021-10-31,94851
2021-11-01,98305
2021-11-02,99132
2021-11-03,102679
2021-11-04,97077
2021-11-05,112974
2021-11-06,112324
2021-11-07,106536
2021-11-08,35917
2021-11-09,46659
2021-11-10,56895
2021-11-11,69228
2021-11-12,75003
2021-11-13,74781
2021-11-14,89932
2021-11-15,93304
2021-11-16,84686
2021-11-17,76239
2021-11-18,101459
2021-11-19,103320
2021-11-20,82570
2021-11-21,37944
2021-11-22,53619
2021-11-23,50908
2021-11-24,66491
2021-11-25,73574
2021-11-26,68373
2021-11-27,63133
2021-11-28,54246
2021-11-29,81362
2021-11-30,42357
2021-12-01,38809
2021-12-02,51841
2021-12-03,59455
2021-12-04,53737
2021-12-05,51293
2021-12-06,59300
2021-12-07,76579
2021-12-08,79513
2021-12-09,67913
2021-12-10,54679
2021-12-11,55789
2021-12-12,43825
2021-12-13,40173
2021-12-14,56022
2021-12-15,52237
2021-12-16,60758
2021-12-17,31706
2021-12-18,27838
2021-12-19,34987
2021-12-20,51499
2021-12-21,60405
2021-12-22,57392
2021-12-23,54344
2021-12-24,33171
2021-12-25,27238
2021-12-26,31292
2021-12-27,33288
2021-12-28,33580
2021-12-29,41040
2021-12-30,30132
2021-12-31,33860
