date,rental
2021-01-01,21291.182
2021-01-02,26443.936
2021-01-03,18214.469
2021-01-04,33731.938
2021-01-05,26213.625
2021-01-06,19077.508
2021-01-07,15593.201
2021-01-08,20712.623
2021-01-09,16879.174
2021-01-10,18080.938
2021-01-11,21329.92
2021-01-12,20090.895
2021-01-13,36993.293
2021-01-14,38464.168
2021-01-15,29381.053
2021-01-16,22746.785
2021-01-17,18415.768
2021-01-18,21461.088
2021-01-19,31536.133
2021-01-20,39532.62
2021-01-21,18426.416
2021-01-22,9092.834
2021-01-23,43190.87
2021-01-24,49582.05
2021-01-25,55273.38
2021-01-26,26089.268
2021-01-27,40721.723
2021-01-28,26097.754
2021-01-29,24507.605
2021-01-30,29593.887
2021-01-31,33842.08
2021-02-01,33666.184
2021-02-02,28765.713
2021-02-03,22060.297
2021-02-04,32628.6
2021-02-05,39775.566
2021-02-06,36497.84
2021-02-07,28400.621
2021-02-08,32683.506
2021-02-09,35333.508
2021-02-10,37963.715
2021-02-11,33734.867
2021-02-12,45233.5
2021-02-13,46180.652
2021-02-14,43064.105
2021-02-15,28333.904
2021-02-16,21179.285
2021-02-17,15449.461
2021-02-18,24705.11
2021-02-19,40458.062
2021-02-20,51174.293
2021-02-21,54512.31
2021-02-22,53614.82
2021-02-23,37521.195
2021-02-24,49983.566
2021-02-25,41228.914
2021-02-26,65860.234
2021-02-27,61272.53
2021-02-28,41168.094
2021-03-01,6392.1445
2021-03-02,39158.473
2021-03-03,53127.406
2021-03-04,63610.613
2021-03-05,77024.72
2021-03-06,54549.91
2021-03-07,57559.863
2021-03-08,72056.734
2021-03-09,61377.688
2021-03-10,84447.89
2021-03-11,72376.375
2021-03-12,71066.14
2021-03-13,58626.23
2021-03-14,55066.812
2021-03-15,61319.766
2021-03-16,60656.7
2021-03-17,79631.766
2021-03-18,82429.97
2021-03-19,83453.52
2021-03-20,27731.95
2021-03-21,41314.84
2021-03-22,67481.22
2021-03-23,79063.914
2021-03-24,82024.15
2021-03-25,75058.305
2021-03-26,78847.805
2021-03-27,13330.649
2021-03-28,11327.807
2021-03-29,68739.32
2021-03-30,81697.195
2021-03-31,98618.305
2021-04-01,113978.87
2021-04-02,109877.88
2021-04-03,18021.094
2021-04-04,76620.96
2021-04-05,103129.125
2021-04-06,109209.91
2021-04-07,110582.23
2021-04-08,113736.945
2021-04-09,107721.5
2021-04-10,110641.83
2021-04-11,110691.95
2021-04-12,21910.605
2021-04-13,58272.04
2021-04-14,95898.46
2021-04-15,110675.07
2021-04-16,74737.23
2021-04-17,75515.52
2021-04-18,90200.3
2021-04-19,103158.74
2021-04-20,108085.06
2021-04-21,115011.28
2021-04-22,101988.88
2021-04-23,92474.91
2021-04-24,112002.44
2021-04-25,118529.95
2021-04-26,113948.664
2021-04-27,84877.11
2021-04-28,69923.72
2021-04-29,91398.04
2021-04-30,34201.785
2021-05-01,57696.105
2021-05-02,103082.43
2021-05-03,129198.65
2021-05-04,21889.447
2021-05-05,119521.71
2021-05-06,118065.14
2021-05-07,74420.73
2021-05-08,111579.6
2021-05-09,116016.85
2021-05-10,86322.44
2021-05-11,137867.78
2021-05-12,140382.83
2021-05-13,137392.9
